code,Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,country
BIGMAC_ARE,2018-07-31,14.0,3.67315,3.8114424948614,2.540834845735,-30.8,,,,,,ARE
BIGMAC_ARE,2019-01-31,14.0,3.67315,3.8114424948614,2.5089605734767,-31.7,,,,,,ARE
BIGMAC_ARE,2019-07-31,14.75,3.67315,4.0156269142289,2.5696864111498,-30.0,,,,,,ARE
BIGMAC_ARE,2020-01-31,14.75,3.67315,4.01562691422893,2.601410934744268,-29.178,,,,,,ARE
BIGMAC_ARE,2020-07-31,14.75,3.67295,4.0158455737214,2.58318739054291,-29.67,,,,,,ARE
BIGMAC_ARE,2021-01-31,14.75,3.67315,4.01562691422893,2.606007067137808,-29.1,-12.3,-22.1,-6.9,8.4,-14.4,ARE
BIGMAC_ARE,2021-07-31,14.75,3.67315,4.01562691422893,2.610619469026548,-28.927000000000003,-7.8009999999999975,-15.56,-8.734,21.933000000000003,-7.4529999999999985,ARE
BIGMAC_ARE,2022-01-31,17.0,3.67305,4.62830617606621,2.925989672977624,-20.339,-3.675,-6.938,-2.497,38.396,-8.048,ARE
BIGMAC_ARG,2000-04-30,2.5,1.0,2.5,0.99601593625498,-0.39840637450198,,,,,,ARG
BIGMAC_ARG,2001-04-30,2.5,1.0,2.5,0.98425196850394,-1.5748031496063,,,,,,ARG
BIGMAC_ARG,2002-04-30,2.5,3.13,0.78,1.004016064257,-67.92280944865699,,,,,,ARG
BIGMAC_ARG,2003-04-30,4.1,2.88,1.4,1.5129151291513,-47.468224682247,,,,,,ARG
BIGMAC_ARG,2004-05-31,4.36,2.95,1.48,1.5034482758621002,-49.035651665692995,,,,,,ARG
BIGMAC_ARG,2005-06-30,4.75,2.897,1.6396272005522998,1.5522875816993,-46.417411746657,,,,,,ARG
BIGMAC_ARG,2006-01-31,4.75,3.0638,1.5503622951890002,1.5079365079365,-50.78214935908,,,,,,ARG
BIGMAC_ARG,2006-05-31,7.0,3.0565,2.2902012105349,2.258064516129,-26.122541595648,,,,,,ARG
BIGMAC_ARG,2007-01-31,8.25,3.08875,2.6709834075273,2.5621118012422,-17.050204735177,,,,,,ARG
BIGMAC_ARG,2007-06-30,8.25,3.0915,2.6686074721009,2.4193548387097,-21.741716360677,,,,,,ARG
BIGMAC_ARG,2008-06-30,11.0,3.0195,3.6429872495446,3.0812324929972004,2.0444607715582,,,,,,ARG
BIGMAC_ARG,2009-07-31,11.5,3.81125,3.0173827484421003,3.2212885154062003,-15.479474833554,,,,,,ARG
BIGMAC_ARG,2010-01-31,7.0,3.7985,1.8428326971173,1.9553072625698,-48.524226337506,,,,,,ARG
BIGMAC_ARG,2010-07-31,14.0,3.93375,3.5589450270099,3.75,-4.6711153479504,,,,,,ARG
BIGMAC_ARG,2011-07-31,20.0,4.1325,4.8396854204477,4.920049200492,19.057451917532,101.08942706959,47.526065955705,84.97021139289001,90.625741716111,94.62236128643801,ARG
BIGMAC_ARG,2012-01-31,20.0,4.3135,4.6366060044048,4.765058777,10.4685006839,75.551766345042,49.593869075962,71.80616210729,69.432415350544,76.178437576658,ARG
BIGMAC_ARG,2012-07-31,19.0,4.56625,4.1609635915686,4.3905257076834,-3.8483283288602,48.885831709563,34.071302554299,38.746752596651,50.965058722462,58.240127747856,ARG
BIGMAC_ARG,2013-01-31,19.0,4.9765,3.8179443383904,4.3504185846829,-12.580757868323,31.583764699506002,9.1424391751718,23.713617067818,59.930163506477,37.310090299559,ARG
BIGMAC_ARG,2013-07-31,21.0,5.4125,3.8799076212471,4.608632040965599,-14.852063908256,28.600241396778998,16.450697685849,33.222986187329,79.239261983778,37.489871076637,ARG
BIGMAC_ARG,2014-01-31,21.0,6.92125,3.0341340075853,4.541358803388,-34.385280066635,2.5827267884142,-11.950069442142,-6.884604594465902,55.73351526363001,1.3626362829916,ARG
BIGMAC_ARG,2014-07-31,21.0,8.16875,2.5707727620505,4.3795620437956,-46.38638661,-18.120703533962,-30.847082262726,-29.000599392212,2.9348592056306,-12.532893059231998,ARG
BIGMAC_ARG,2015-01-31,28.0,8.61,3.2520325203252,5.8455114822547,-32.107880577761996,0.54024217710995,-0.8044947204658199,-2.4946803003442,34.390487386178,6.011833351810499,ARG
BIGMAC_ARG,2015-07-31,28.0,9.135,3.0651340996169,5.8455114822547,-36.009726521569,-4.7584996217028,-0.35791837379466995,-6.0109118219829,30.860919781029,5.028676934808799,ARG
BIGMAC_ARG,2016-01-31,33.0,13.80925,2.3897025544472004,6.6937119675456,-51.527331552795,-24.861868308450997,-18.714020194289,-18.720934526961,0.4085904664521,-17.029045678169002,ARG
BIGMAC_ARG,2016-07-31,50.0,14.935,3.3478406427854,9.9206349206349,-33.574590420925,2.0726096168216004,0.40224795003514,17.56448458418,19.76377270142,11.643103380531,ARG
BIGMAC_ARG,2017-01-31,55.0,15.8575,3.4683903515687,10.869565217391,-31.454736135007,6.2671477203176,8.2697553162259,29.626894343348,32.714616745128005,13.625825886047,ARG
BIGMAC_ARG,2017-07-31,70.0,16.9675,4.1255341093267,13.207547169811,-22.15973378629,20.745540495415,18.933643413675,40.280424464900996,64.016207558657,33.522488892593,ARG
BIGMAC_ARG,2018-01-31,75.0,18.9375,3.960396039604,14.204545454545,-24.992499249924997,18.650589702972,5.8704706179769,21.637471378923998,54.67412054135,17.830084729655002,ARG
BIGMAC_ARG,2018-07-31,75.0,27.725,2.7051397655545,13.611615245009,-50.9,-22.2,-26.0,-15.1,1.2,-19.2,ARG
BIGMAC_ARG,2019-01-31,75.0,37.455,2.0024028834601,13.440860215054,-64.1,-41.9,-43.4,-33.8,-26.1,-39.6,ARG
BIGMAC_ARG,2019-07-31,120.0,41.8045,2.8705043715390004,20.905923344948,-50.0,-22.9,-20.1,-8.8,2.8,-12.5,ARG
BIGMAC_ARG,2020-01-31,171.0,60.0656,2.8468874031059404,30.158730158730183,-49.79,-18.6,-16.3,-11.2,7.3,-11.1,ARG
BIGMAC_ARG,2020-07-31,250.0,71.24065,3.50923243962541,43.78283712784589,-38.542,3.0,1.0,15.5,31.7,10.2,ARG
BIGMAC_ARG,2021-01-31,320.0,85.3736,3.74823130335373,56.53710247349822,-33.800000000000004,11.6,-1.0,18.4,37.9,8.9,ARG
BIGMAC_ARG,2021-07-31,380.0,96.33375,3.94461961669716,67.25663716814161,-30.184,16.340999999999998,6.551,15.164,53.862,16.781,ARG
BIGMAC_ARG,2022-01-31,450.0,105.0165,4.2850409221408094,77.45266781411367,-26.247,19.685,15.63,21.147,71.95700000000002,14.249999999999998,ARG
BIGMAC_AUS,2000-04-30,2.59,1.68,1.54,1.0318725099602,-38.579017264276,,,,,,AUS
BIGMAC_AUS,2001-04-30,3.0,1.98,1.52,1.1811023622047,-40.348365545216,,,,,,AUS
